編號,父科目,公司,科目名稱,科目類型,科目代碼
1211 - 商品存貨 – A,121~122 - 存貨 - A,Acer,商品存貨,Stock,1211
1212 - 寄銷商品 - A,121~122 - 存貨 - A,Acer,寄銷商品,Stock,1212
1213 - 在途商品 – A,121~122 - 存貨 - A,Acer,在途商品,Stock,1213
1219 - 備抵存貨跌價損失 – A,121~122 - 存貨 - A,Acer,備抵存貨跌價損失,Stock,1219
1221 - 製成品 – A,121~122 - 存貨 - A,Acer,製成品,Stock,1221
1222 - 寄銷製成品 – A,121~122 - 存貨 - A,Acer,寄銷製成品,Stock,1222
1223 - 副產品 – A,121~122 - 存貨 - A,Acer,副產品,Stock,1223
1224 - 在製品 – A,121~122 - 存貨 - A,Acer,在製品,Stock,1224
1225 - 委外加工 – A,121~122 - 存貨 - A,Acer,委外加工,Stock,1225
1226 - 原料 – A,121~122 - 存貨 - A,Acer,原料,Stock,1226
1227 - 物料 – A,121~122 - 存貨 - A,Acer,物料,Stock,1227
1228 - 在途原物料 – A,121~122 - 存貨 - A,Acer,在途原物料,Stock,1228
2142 - 應付暫估 - A,214 - 應付帳款 - A,Acer,應付暫估,Stock Received But Not Billed,2142
6279 - 存貨調整費 - A,625~628 - 管理及總務費用 - A,Acer,存貨調整費,Stock Adjustment,6279
